time,sat_name,subRegion,shaded
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--67,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--68,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--69,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--70,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--77,TRUE
2025-11-28T20:07:03.382Z,OSCAR 7 (AO-7),A--78,TRUE
2025-11-28T20:10:47.382Z,LCS 1,A--11,FALSE
2025-11-28T20:10:47.382Z,LCS 1,A--12,FALSE
2025-11-28T20:10:47.382Z,LCS 1,A--17,FALSE
2025-11-28T20:10:47.382Z,LCS 1,A--18,FALSE
2025-11-28T20:10:47.382Z,LCS 1,A--24,FALSE
2025-11-28T20:10:47.382Z,LCS 1,A--25,FALSE
2025-11-28T20:10:47.382Z,LCS 1,A--26,FALSE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--50,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--51,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--52,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--58,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--59,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--60,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--66,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--67,TRUE
2025-11-28T20:10:47.382Z,OSCAR 7 (AO-7),A--68,TRUE
2025-11-28T20:14:38.382Z,LCS 1,A--24,FALSE
2025-11-28T20:14:38.382Z,LCS 1,A--25,FALSE
2025-11-28T20:14:38.382Z,LCS 1,A--32,FALSE
2025-11-28T20:14:38.382Z,LCS 1,A--33,FALSE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--40,TRUE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--48,TRUE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--49,TRUE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--50,TRUE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--56,TRUE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--57,TRUE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--58,TRUE
2025-11-28T20:14:38.382Z,OSCAR 7 (AO-7),A--65,TRUE
2025-11-28T20:14:38.382Z,CALSPHERE 2,A--143,FALSE
2025-11-28T20:14:38.382Z,CALSPHERE 2,A--144,FALSE
2025-11-28T20:14:38.382Z,CALSPHERE 2,A--145,FALSE
2025-11-28T20:17:42.382Z,LCS 1,A--32,FALSE
2025-11-28T20:17:42.382Z,LCS 1,A--40,FALSE
2025-11-28T20:17:42.382Z,LCS 1,A--48,FALSE
2025-11-28T20:17:42.382Z,LCS 1,A--49,FALSE
