time,sat_name,subRegion,angle_g_param
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--75,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--81,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--82,0.25
2025-11-28T19:52:14.382Z,OPS 5712 (P/L 160),A--83,0.25
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--133,0.25
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--137,0.25
2025-11-28T19:52:14.382Z,RIGIDSPHERE 2 (LCS 4),A--137,0.25
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--138,0.25
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--139,0.25
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--141,0.25
2025-11-28T19:52:14.382Z,RIGIDSPHERE 2 (LCS 4),A--141,0.25
2025-11-28T19:52:14.382Z,TEMPSAT 1,A--142,0.25
2025-11-28T19:52:14.382Z,RIGIDSPHERE 2 (LCS 4),A--142,0.25
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--1,0.25
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--2,0.25
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--3,0.25
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--4,0.25
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--6,0.25
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--7,0.25
2025-11-28T19:58:24.382Z,UOSAT 2 (UO-11),A--8,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--76,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--77,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--78,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--79,0.25
2025-11-28T19:58:24.382Z,PHASE 3B (AO-10),A--80,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--84,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--85,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--86,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--87,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--93,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--94,0.25
2025-11-28T19:58:24.382Z,OPS 5712 (P/L 160),A--95,0.25
2025-11-28T19:58:24.382Z,JAS-2 (FO-29),A--137,0.25
2025-11-28T19:58:24.382Z,TEMPSAT 1,A--140,0.25
2025-11-28T19:58:24.382Z,JAS-2 (FO-29),A--141,0.25
2025-11-28T19:58:24.382Z,JAS-2 (FO-29),A--142,0.25
2025-11-28T20:04:48.382Z,LCS 1,A--1,0.25
2025-11-28T20:04:48.382Z,LCS 1,A--2,0.25
2025-11-28T20:04:48.382Z,LCS 1,A--3,0.25
2025-11-28T20:04:48.382Z,LCS 1,A--4,0.25
2025-11-28T20:04:48.382Z,LCS 1,A--5,0.25
2025-11-28T20:04:48.382Z,LCS 1,A--8,0.25
2025-11-28T20:04:48.382Z,LCS 1,A--9,0.25
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--129,0.25
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--130,0.25
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--134,0.25
2025-11-28T20:04:48.382Z,JAS-2 (FO-29),A--135,0.25
